market,slug,clobID,closingDate,outcome,probability7d,probability6d,probability5d,probability4d,probability3d,probability2d,probability1d,volume
Israel withdraws from Gaza in 2024?,israel-withdraws-from-gaza-in-2024,33218975905105507525402299492234174982748887177691305953273483961159545982557,2024-12-31T12:00:00Z,True,0.985,0.987,0.9955,0.9925,0.996,0.9985,0.9975,501887.100165998
Martin Small announced as next BlackRock CEO? ,marin-small-announced-as-next-blackrock-ceo,28853951746659696042240016308666224047433757108980187782815001668311441779863,2024-12-31T12:00:00Z,True,0.9875,0.989,0.985,0.995,0.995,0.998,0.9995,522297.208087988
Elon Musk arrested in 2024?,elon-musk-arrested-in-2024,67971592335291226082499036616833694247096568244827987906308571127406099473426,2024-12-31T12:00:00Z,True,0.986,0.992,0.995,0.997,0.997,0.997,0.9975,552705.494405
GPT-5 announced in Q4 2024?,gpt5-announced-in-q4-2024,22261358807606535566676024199823511868583702892917381146477481407428839187850,2024-12-31T12:00:00Z,True,0.985,0.985,0.9865,0.9905,0.993,0.994,0.996,571862.405931001
Monkeypox pandemic in 2024?,monkey-pox-pandemic-in-2024,101027558157809457417337372137620930635597417864317661667515856398439208852891,2024-12-31T12:00:00Z,True,0.9915,0.9915,0.996,0.996,0.997,0.9965,0.995,602464.946073999
Will TREMP reach $1b first?,will-tremp-reach-1b-first,87324894942811213138857648785197868232971666673588531711140932871824120522098,2024-12-31T12:00:00Z,True,0.9965,0.9985,0.995,0.9975,0.9985,0.999,0.999,604862.234811
Scholz out as chancellor of Germany in 2024?,scholz-out-as-chancellor-of-germany-in-2024,98931297618269678434915154875597761473705306697669477663049498338783452126439,2024-12-31T12:00:00Z,True,0.988,0.9935,0.9935,0.9935,0.9965,0.9965,0.997,627420.871171001
Will Ian Nepomniachtchi win the 2024 World Blitz Championship?,will-ian-nepomniachtchi-win-the-2024-world-blitz-championship,64099723568761418307481897719071954420014166146535514389359061631360358383185,2024-12-31T12:00:00Z,True,0.963,0.968,0.9805,0.982,0.898,0.9365,0.9605,648389.95476
Will stranded astronauts leave the ISS in 2024?,will-stranded-astronauts-leave-the-iss-in-2024,8019229730041165014883725796107248541937470164243706094562779184776357242403,2024-12-31T12:00:00Z,True,0.993,0.9945,0.993,0.994,0.995,0.9955,0.9965,686218.354919004
GPT-5 released in 2024?,will-openai-release-gpt-5-in-2024,70969777509949543918532696654032921221506851571494740988105327693531210963095,2024-12-31T12:00:00Z,True,0.992,0.993,0.993,0.9935,0.992,0.9935,0.996,753918.232534
