market,slug,clobID,closingDate,outcome,probability7d,probability6d,probability5d,probability4d,probability3d,probability2d,probability1d,volume
Will CHEGA win the most seats in the 2025 Portuguese legislative election?,will-chega-win-the-most-seats-in-the-2025-portuguese-legislative-election,109718131470861256421274398367940808599890153764152100993838826884043156090391,2025-05-18T12:00:00Z,True,0.993,0.994,0.9855,0.9735,0.9845,0.977,0.991,606685.545017
Will the Democratic Alliance win the most seats in the 2025 Portuguese legislative election?,will-the-democratic-alliance-win-the-most-seats-in-the-2025-portuguese-legislative-election,101349816342516175728437009621742829439758110880452878933374826225683212440850,2025-05-18T12:00:00Z,True,0.955,0.957,0.9135,0.911,0.907,0.91,0.9315,611127.97298
Will Nicușor Dan win by 0–6%?,will-nicuor-dan-win-by-06,102603723772151433015093716159417164387700738827751640567658925292897123095416,2025-05-18T12:00:00Z,True,0.785,0.775,0.755,0.735,0.7150000000000001,0.6950000000000001,0.65,6483478.386467
Will Nicușor Dan win by 6–12%?,will-nicuor-dan-win-by-612,41976020466050148414873367869098585225252695563679099592668981438632982042468,2025-05-18T12:00:00Z,False,0.9025,0.9305,0.9145,0.9145,0.891,0.8425,0.8515,6494331.727631
Will Karol Nawrocki win the most votes in the first round of the Polish Presidential election?,will-karol-nawrocki-win-the-most-votes-in-the-first-round-of-the-polish-presidential-election,6764950121847468718931733794295539362651292723769855189978697657793410985643,2025-05-18T12:00:00Z,True,0.9390000000000001,0.94,0.953,0.952,0.945,0.892,0.866,656303.247407
Will Rafał Trzaskowski win the most votes in the first round of the Polish Presidential election?,will-rafa-trzaskowski-win-the-most-votes-in-the-first-round-of-the-polish-presidential-election,49359597556653434648739280557982921944912823311218825642413551151246271247982,2025-05-18T12:00:00Z,True,0.9345,0.938,0.9515,0.949,0.944,0.8555,0.8655,767353.824972
Will Nicușor Dan win by more than 12%?,will-nicuor-dan-win-by-more-than-12,26963939649322789349727688217808483900531309170844444429623426186547291349164,2025-05-18T12:00:00Z,True,0.9225,0.94,0.96,0.958,0.9615,0.938,0.9445,7891266.898406
Will Romuald Starosielec be the next President of Poland?,will-romuald-starosielec-be-the-next-president-of-poland,60966876506575608375976519258430482568223679510186498944554887183293171064166,2025-05-18T12:00:00Z,True,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,8085883.314604
Will the Socialist Party win the most seats in the 2025 Portuguese legislative election?,will-the-socialist-party-win-the-most-seats-in-the-2025-portuguese-legislative-election,83327324143443961424949518452367226590020519853030759503358057087723422376281,2025-05-18T12:00:00Z,True,0.96,0.961,0.9295,0.9315,0.9225,0.9315,0.9405,824673.521407
Will Waldemar Witkowski be the next President of Poland?,will-waldemar-witkowski-be-the-next-president-of-poland,31598891232895549450231522592886436367300184162183117922366463978529476788686,2025-05-18T12:00:00Z,True,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,8469812.975078
Will 'Lilo & Stitch' gross more than $170m opening weekend?,will-lilo-stitch-gross-more-than-170m-opening-weekend,23769726817005418291169245120626291034324899590884440491636607637990431534540,2025-05-23T12:00:00Z,True,0.56,0.5800000000000001,0.575,0.6799999999999999,0.5549999999999999,0.585,0.575,1135590.625671
Will 'Lilo & Stitch' gross less than $140m opening weekend?,will-lilo-stitch-gross-less-than-140m-opening-weekend,93273559837073941370566879702110282737839616487094192039541475058629286363802,2025-05-23T12:00:00Z,True,0.85,0.81,0.845,0.79,0.86,0.955,0.9125,1720377.464882
Will 'Lilo & Stitch' gross between $140-150m opening weekend?,will-lilo-stitch-gross-between-140-150m-opening-weekend,115097286649581311916028039708269400915738409437396484982421436467746302573957,2025-05-23T12:00:00Z,False,0.87,0.835,0.895,0.875,0.94,0.94,0.95,217895.701289
Will 'Lilo & Stitch' gross between $150-160m opening weekend?,will-lilo-stitch-gross-between-150-160m-opening-weekend,32722768956029388385341403699675210577967239655008183542182533068760252926240,2025-05-23T12:00:00Z,True,0.885,0.88,0.87,0.865,0.905,0.89,0.835,231309.302322
Will 'Lilo & Stitch' gross between $160-170m opening weekend?,will-lilo-stitch-gross-between-160-170m-opening-weekend,20360550356703259037924024856093423614235443079227669029356287602027975959325,2025-05-23T12:00:00Z,True,0.8049999999999999,0.915,0.86,0.78,0.785,0.78,0.685,824026.746562
Will Chelsea finish in the top 4 of the EPL?,will-chelsea-finish-in-the-top-4-of-the-epl,13557984245996092146837469061182059264096082469004323878425994232899905384605,2025-05-25T12:00:00Z,False,0.7050000000000001,0.72,0.7050000000000001,0.765,0.815,0.81,0.815,106490.034765
Will the Brotherhood and Unity in Politics win the most seats in the 2025 Suriname election?,will-the-brotherhood-and-unity-in-politics-win-the-most-seats-in-the-2025-suriname-election,7736450714641892824211847084604594351604399578842314179280317552851792734214,2025-05-25T12:00:00Z,True,0.994,0.9955,0.9975,0.9975,0.9985,0.9995,0.9995,133712.933543
Will 'Fern' win Crunchyroll's Best Supporting Character Award for 2025?,will-fern-win-crunchyrolls-best-supporting-character-award-for-2025,32936175717383157897923685770243314129025613557231627481886191125748012929969,2025-05-25T12:00:00Z,False,0.5449999999999999,0.51,0.56,0.63,0.645,0.735,0.665,136253.321774
Will 'Fatal' win Crunchyroll's Best Anime Song Award for 2025?,will-fatal-win-crunchyrolls-best-anime-song-award-for-2025,38628940414493973243168826351049129713117519991381733282255522889947423987274,2025-05-25T12:00:00Z,True,0.9945,0.9955,0.994,0.9945,0.9955,0.9925,0.993,154155.880116
 Will Switzerland win the 2025 IIHF World Championship?,will-switzerland-win-the-2025-iihf-world-championship,95406371331332555776177545201484545357281905117249978022594055324351656994664,2025-05-25T12:00:00Z,True,0.8995,0.901,0.9295,0.875,0.891,0.6795,0.681,160577.050868
Will 'GIRLS BAND CRY' win Crunchyroll's Best Original Anime Award for 2025?,will-girls-band-cry-win-crunchyrolls-best-original-anime-award-for-2025,97371755551479218936495026858269578175974609757431444705051403458197308363637,2025-05-25T12:00:00Z,True,0.5549999999999999,0.6,0.51,0.52,0.57,0.57,0.675,166058.857637
Will 'Otonoke' win Crunchyroll's Best Anime Song Award for 2025?,will-otonoke-win-crunchyrolls-best-anime-song-award-for-2025,104187291384545385326233096428052310659689979615495924733911182104910333083209,2025-05-25T12:00:00Z,False,0.81,0.815,0.8,0.8049999999999999,0.815,0.815,0.7050000000000001,166299.203512
Will Julian Alvarez be the top goalscorer in the EPL?,will-julian-alvarez-be-the-top-goalscorer-in-the-epl,69786208541326849575867358478842261882636498022534019153932598881236399927760,2025-05-25T12:00:00Z,True,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,1678233.501863
Will ‘Re:ZERO -Starting Life in Another World- Season 3’ win Crunchyroll's Best Isekai Award for 2025?,will-rezero-starting-life-in-another-world-season-3-win-crunchyrolls-best-isekai-award-for-2025,67626850473508155747213886509728343875313677857729014118295089075594701360633,2025-05-25T12:00:00Z,True,0.79,0.8,0.79,0.765,0.79,0.785,0.71,174872.941659
Will the National Party of Suriname win the most seats in the 2025 Suriname election?,will-the-national-party-of-suriname-win-the-most-seats-in-the-2025-suriname-election,40727734861998097708487801299988369840985865236298254235044668086585210279607,2025-05-25T12:00:00Z,True,0.9935,0.981,0.9935,0.9945,0.997,0.988,0.9905,182753.568514
Will Newcastle United finish in the top 4 of EPL?,will-newcastle-united-finish-in-the-top-4-of-epl,42511051344127070593528418312872252631520860831476044162680084631002357550809,2025-05-25T12:00:00Z,False,0.74,0.745,0.715,0.695,0.725,0.735,0.76,246782.668099
Will 'NINJA KAMUI' win Crunchyroll's Best Original Anime Award for 2025?,will-ninja-kamui-win-crunchyrolls-best-original-anime-award-for-2025,7027117123310169778202079518834607136958565927322470454781157304804957744974,2025-05-25T12:00:00Z,False,0.635,0.6,0.735,0.6799999999999999,0.71,0.6950000000000001,0.825,253142.01329
Will Sung Jinwoo win Crunchyroll's Best Main Character Award for 2025?,will-sung-jinwoo-win-crunchyrolls-best-main-character-award-for-2025,6647048882054594845087717094521181715408705316888588102023133126950111242282,2025-05-25T12:00:00Z,True,0.585,0.525,0.545,0.555,0.525,0.5349999999999999,0.605,293916.960019
Will Manchester City finish in the top 4 of the EPL?,will-manchester-city-finish-in-the-top-4-of-the-epl,21872063688053269051348872284207312282818476969267554286749524860962621485750,2025-05-25T12:00:00Z,True,0.765,0.805,0.75,0.895,0.91,0.905,0.9,305336.477625
Will 'Bling-Bang-Bang-Born' win Crunchyroll's Best Anime Song Award for 2025?,will-bling-bang-bang-born-win-crunchyrolls-best-anime-song-award-for-2025,10678725514836185210414009729330024160110553798533614348465023632647513199140,2025-05-25T12:00:00Z,False,0.765,0.775,0.775,0.78,0.785,0.765,0.645,320005.862599
Will Nottingham Forest finish in the top 4 of EPL?,will-nottingham-forest-finish-in-the-top-4-of-epl,103046869314791028191301331853263123601269766919079307489006058080435064338784,2025-05-25T12:00:00Z,True,0.9915,0.963,0.943,0.9625,0.971,0.968,0.961,344432.343584
Will Diogo Jota be the top goalscorer in the EPL?,will-diogo-jota-be-the-top-goalscorer-in-the-epl,37704448196291469895865693700401024491216679023683804934923649710362829550710,2025-05-25T12:00:00Z,True,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,448958.22278
Will Heung-Min Son be the top goalscorer in the EPL?,will-heung-min-son-be-the-top-goalscorer-in-the-epl,31014150887389417780547480353101874589137913784375241924028384644909840583715,2025-05-25T12:00:00Z,True,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,451137.276614
Will the Progressive Reform Party win the most seats in the 2025 Suriname election?,will-the-progressive-reform-party-win-the-most-seats-in-the-2025-suriname-election,42007723337951839523207335732319527813311065443181238782075191643604876292430,2025-05-25T12:00:00Z,False,0.585,0.5,0.55,0.66,0.81,0.615,0.595,474018.753182
Will Cole Palmer be the top goalscorer in the EPL?,will-cole-palmer-be-the-top-goalscorer-in-the-epl,11901037551217676652027327326435003832009636164707531382615543916473383576198,2025-05-25T12:00:00Z,True,0.9995,0.9995,0.9995,0.999,0.999,0.999,0.999,481673.845264
Will Kai Havertz be the top goalscorer in the EPL?,will-kai-havertz-be-the-top-goalscorer-in-the-epl,99641829140894840622245751997214710079028346790672910255400669018026290713313,2025-05-25T12:00:00Z,True,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,523943.189847
Will Bukayo Saka be the top goalscorer in the EPL?,will-bukayo-saka-be-the-top-goalscorer-in-the-epl,102167229180256384354961444649116611331348562150486038685833620360643780267723,2025-05-25T12:00:00Z,True,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,543973.246806
Will the National Democratic Party win the most seats in the 2025 Suriname election?,will-the-national-democratic-party-win-the-most-seats-in-the-2025-suriname-election,96448509603670979040092898219541556918052656805054578482512444800602663376227,2025-05-25T12:00:00Z,False,0.62,0.565,0.5800000000000001,0.69,0.815,0.6,0.605,607992.246931
Will Jamie Vardy be the top goalscorer in the EPL?,will-jamie-vardy-be-the-top-goalscorer-in-the-epl,23150252001508505695819235407035038184112283098385609655841449566571979534251,2025-05-25T12:00:00Z,True,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,611784.234599
Will Frieren win Crunchyroll's Best Main Character Award for 2025?,will-frieren-win-crunchyrolls-best-main-character-award-for-2025,69763663793243627902657565769364681485707205030675438171514681774343915430108,2025-05-25T12:00:00Z,True,0.615,0.615,0.635,0.645,0.61,0.575,0.54,649394.920685
Will Luis Diaz be the top goalscorer in the EPL?,will-luis-diaz-be-the-top-goalscorer-in-the-epl,69319029160769177801014973783127332216553400702470635982592821084105337871100,2025-05-25T12:00:00Z,True,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,913711.220304
Will Nicolas Jackson be the top goalscorer in the EPL?,will-nicolas-jackson-be-the-top-goalscorer-in-the-epl,23216271295582292214053224174961998488595528540552224618873349613295166621134,2025-05-25T12:00:00Z,True,0.9995,0.9995,0.9995,0.999,0.999,0.999,0.999,952928.985381
Will 'Mission: Impossible - The Final Reckoning' gross less than $60m opening weekend?,will-mission-impossible-the-final-reckoning-gross-less-than-60m-opening-weekend,26169716386442024455026886766823543504536722141299238609539884280122862401465,2025-05-26T12:00:00Z,True,0.735,0.78,0.83,0.935,0.785,0.925,0.972,110588.77444
Will 'Mission: Impossible - The Final Reckoning' gross between $70-75m opening weekend?,will-mission-impossible-the-final-reckoning-gross-between-70-75m-opening-weekend,40861193660284944375339908470422397736162498839389536011804505232342290715934,2025-05-26T12:00:00Z,True,0.8,0.84,0.78,0.835,0.795,0.8495,0.969,126629.877908
"Will ""Mission: Impossible – The Final Reckoning"" Rotten Tomatoes score be between 90 and 94?",will-mission-impossible-the-final-reckoning-rotten-tomatoes-score-be-between-90-and-94,27987730385128509809402266016542996282023887048075028165020461302330536801820,2025-05-26T12:00:00Z,True,0.9845,0.988,0.9895,0.997,0.997,0.9915,0.997,148229.239344
"Will ""Mission: Impossible – The Final Reckoning"" Rotten Tomatoes score be 98 or higher?",will-mission-impossible-the-final-reckoning-rotten-tomatoes-score-be-98-or-higher,99886219401613972191469487706136950136529472963071207446868669833782320378753,2025-05-26T12:00:00Z,True,0.998,0.9965,0.9995,0.9985,0.999,0.998,0.9985,219688.085416
Will 'Mission: Impossible - The Final Reckoning' gross more than $75m opening weekend?,will-mission-impossible-the-final-reckoning-gross-more-than-75m-opening-weekend,95484593214006813237733891444770734748227720487299372870244122809541638639216,2025-05-26T12:00:00Z,True,0.7150000000000001,0.755,0.73,0.6950000000000001,0.855,0.845,0.988,303957.589175
Will the U.S. tariff rate on China be less than 50% on May 31?,will-the-us-tariff-rate-on-china-be-less-than-50-on-may-31,100874628351342115654050153653099707835313407517786875144834865764825700160602,2025-05-31T12:00:00Z,True,0.989,0.9905,0.989,0.9855,0.9895,0.9935,0.995,101133.819462
Will Trump visit Israel in May?,will-trump-visit-israel-in-may,111430735715123809917365651981497501074569545295388521987703698601359365845973,2025-05-31T12:00:00Z,True,0.998,0.9955,0.995,0.9965,0.9965,0.998,0.9975,102510.70362
Will Chan Santokhi be the next president of Suriname after the election?,will-chan-santokhi-be-the-next-president-of-suriname-after-the-election,2975062133899653207500105368734319384044716515660278242996386958659378755613,2025-05-31T12:00:00Z,False,0.64,0.665,0.5900000000000001,0.665,0.957,0.99,0.99,1031148.14671
Will Google have the top AI model on May 31?,will-google-have-the-top-ai-model-on-may-31,42724236397250207575427650023998452742043727100438655051778673245427936844254,2025-05-31T12:00:00Z,True,0.865,0.92,0.905,0.93,0.9555,0.946,0.9625,1031596.828492
Will Inter Milan beat PSG in the first half? ,will-inter-milan-beat-psg-in-the-first-half,109923567230182932198908059637751801018068327820938107607750177924178460788129,2025-05-31T12:00:00Z,True,0.755,0.76,0.76,0.755,0.765,0.76,0.765,108909.038143
Will Maya Parbhoe be the next president of Suriname after the election?,will-maya-parbhoe-be-the-next-president-of-suriname-after-the-election,78726974268370648715342290191510927881782778182319992078902696339417824219997,2025-05-31T12:00:00Z,True,0.9935,0.9985,0.9995,0.9995,0.9995,0.9995,0.9995,112543.070891
Trump imposes 200% tariff on China before June?,trump-imposes-200-tariff-on-china-before-june,101918907662416946568471539991463591963440544028445779327219572350256725760276,2025-05-31T12:00:00Z,True,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,116256.603218
Will Russia capture Yunakivka before June?,will-russia-capture-yunakivka-before-june,27979438090432851701092982919167882658213373402689529748178830678218985952190,2025-05-31T12:00:00Z,True,0.9535,0.952,0.9605,0.972,0.9755,0.9705,0.9895,116572.780524
Will Jennifer Geerlings-Simons be the next president of Suriname after the election?,will-jennifer-geerlings-simons-be-the-next-president-of-suriname-after-the-election,68102410441446329545228952054775156379790460554335314315518337879545331990203,2025-05-31T12:00:00Z,False,0.725,0.725,0.53,0.615,0.9435,0.9405,0.95,1201570.365173
Will Trump issue a Gold Card before June?,will-trump-issue-a-gold-card-before-june,91966748574405051901054804874277927756110730266453914644241880849145334412028,2025-05-31T12:00:00Z,True,0.9175,0.9805,0.971,0.9685,0.972,0.97,0.9865,1208854.173992
Will Trump meet with Putin in Saudi Arabia before June?,will-trump-meet-with-putin-in-saudi-arabia-before-june,85329416514471004297478005149625146014624743562622421967455557722819447174298,2025-05-31T12:00:00Z,True,0.993,0.994,0.993,0.9955,0.997,0.998,0.9975,1219774.204101
Will PSG beat Inter Milan in the first half? ,will-psg-beat-inter-milan-in-the-first-half,34047430903320628156397689191616023170861794216308192341297864595555575030002,2025-05-31T12:00:00Z,False,0.6799999999999999,0.6799999999999999,0.6799999999999999,0.675,0.6699999999999999,0.655,0.655,124944.492494
Will Trump remove Harvard tax exempt status?,will-trump-remove-harvard-tax-exempt-status,56206564616429264702667906329027135007722454202247836332290003155864373016600,2025-05-31T12:00:00Z,True,0.9705,0.9755,0.982,0.9785,0.981,0.9675,0.9905,131918.477905
Will Donald Trump issue fewer than 15 executive orders in May?,will-donald-trump-issue-fewer-than-15-executive-orders-in-may,97513930411372945089172816979747906993539036745212093870467984263811343043984,2025-05-31T12:00:00Z,False,0.94,0.92,0.925,0.905,0.885,0.921,0.723,143019.624567
Will Donald Trump issue 15-19 executive orders in May?,will-donald-trump-issue-15-19-executive-orders-in-may,65348895608038900847973190960750619174840826118772122513911943738217236372577,2025-05-31T12:00:00Z,False,0.595,0.695,0.675,0.64,0.69,0.79,0.69,192959.538531
Will Donald Trump issue 20-24 executive orders in May?,will-donald-trump-issue-20-24-executive-orders-in-may,87393716264555854070549748182450272394524468814483537285314347598341820568210,2025-05-31T12:00:00Z,True,0.771,0.823,0.832,0.8009999999999999,0.79,0.884,0.9835,203203.360011
Will Elon Musk's net worth be less than $310b on May 31?,will-elon-musks-net-worth-be-less-than-310b-on-may-31,30347295529946841010662719101200013191091148788635909330345386153708187484821,2025-05-31T12:00:00Z,True,0.9795,0.9855,0.9945,0.996,0.997,0.997,0.9905,210350.858982
Will Ronnie Brunswijk be the next president of Suriname after the election?,will-ronnie-brunswijk-be-the-next-president-of-suriname-after-the-election,41440186413017898486744029335165924491296285431509701005264629408625382802537,2025-05-31T12:00:00Z,True,0.993,0.998,0.9985,0.9975,0.9995,0.9955,0.997,217299.813078
Another Houthi strike on Israel in May?,another-houthi-strike-on-israel-in-may,86815899684145348678808080973400983886817190652564710930629842432128553245617,2025-05-31T12:00:00Z,True,0.8,0.84,0.905,0.91,0.95,0.925,0.9575,228833.631235
2025 May hottest on record?,2025-may-hottest-on-record,82188983227180068597890455477121368894229182178615311247873898950610506427999,2025-05-31T12:00:00Z,True,0.991,0.9915,0.9915,0.991,0.9925,0.992,0.9925,229292.502266
Will Zelenskyy wear a suit before June?,will-zelenskyy-wear-a-suit-before-june,17041896162828497002193833398392806015651584071315198353911266758278226702501,2025-05-31T12:00:00Z,True,0.9855,0.987,0.99,0.991,0.992,0.997,0.802,2299794.002245
Will Gregory Rusland be the next president of Suriname after the election?,will-gregory-rusland-be-the-next-president-of-suriname-after-the-election,50900539098080916703182615579627456738529966273502021712915934565639043761107,2025-05-31T12:00:00Z,True,0.9705,0.986,0.997,0.9975,0.9995,0.991,0.9915,242499.532149
Will Ashwin Adhin be the next president of Suriname after the election?,will-ashwin-adhin-be-the-next-president-of-suriname-after-the-election,70244715712785426807570464279806992686896032155274552455903903987794366730041,2025-05-31T12:00:00Z,True,0.9855,0.9745,0.986,0.9845,0.9985,0.997,0.996,271696.796114
Nothing Ever Happens: May,nothing-ever-happens-may,64572482836577611258085510447352016661095667981978225611354285306981655491867,2025-05-31T12:00:00Z,True,0.945,0.9665,0.9575,0.9615,0.974,0.986,0.989,275783.179404
Will Qatar gift Trump a new Air Force One in May?,will-qatar-gift-trump-a-new-air-force-one-in-may,22164214717976903932987610278134658422041011353350793685454068210873774432896,2025-05-31T12:00:00Z,True,0.7665,0.762,0.7825,0.776,0.8205,0.9625,0.9605,292420.820921
Google forced to sell Chrome?,google-forced-to-sell-chrome,55189760531190954371896710390532836425294568125624629520703335509514062350144,2025-05-31T12:00:00Z,True,0.9945,0.9915,0.9925,0.9935,0.993,0.996,0.996,299666.804583
Will Meta have the top AI model on May 31?,will-meta-have-the-top-ai-model-on-may-31,87478311577337254432687092770669467678421008031660458993337857593210458805664,2025-05-31T12:00:00Z,True,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,311331.031562
Will Krishna Mathoera be the next president of Suriname after the election?,will-krishna-mathoera-be-the-next-president-of-suriname-after-the-election,52089597167514744901224581011979020901371595218169002464649707840947518427225,2025-05-31T12:00:00Z,True,0.964,0.975,0.9845,0.9645,0.997,0.9975,0.9965,313520.797782
US-EU trade deal before June?,us-eu-trade-deal-before-june-849,86486659648553056860637968871113351445154060030558927642935776592245776250803,2025-05-31T12:00:00Z,True,0.963,0.943,0.874,0.9765,0.978,0.9785,0.985,326264.900915
Israel x Hamas ceasefire before June?,israel-x-hamas-ceasefire-before-june-2025,55339638397443112919791846485253629869798811464400272253569648598507361954673,2025-05-31T12:00:00Z,True,0.95,0.9655,0.957,0.9125,0.9435,0.9305,0.924,3489289.300952
Will Alibaba have the top AI model on May 31?,will-alibaba-have-the-top-ai-model-on-may-31,15163781471808427285072938224277469471278390559706394511669115031772363592881,2025-05-31T12:00:00Z,True,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,356419.816107
Macron cocaine use confirmed?,macron-cocaine-use-confirmed,29565508120089290176203912059020340297747751180975467775300543758925845637656,2025-05-31T12:00:00Z,True,0.996,0.996,0.996,0.9965,0.9965,0.9965,0.9975,411516.448897
Will Trump increase sanctions on Russia before June?,will-trump-increase-sanctions-on-russia-before-june,86355521576927124999013271288107331857537756558597407621196788636050429249198,2025-05-31T12:00:00Z,True,0.935,0.945,0.935,0.84,0.87,0.969,0.979,564665.050523
Will xAI have the top AI model on May 31?,will-xai-have-the-top-ai-model-on-may-31,103001733972689449486911512445470573385621629980218230891324733012006529379059,2025-05-31T12:00:00Z,True,0.9745,0.9815,0.9425,0.9665,0.9875,0.996,0.9965,606547.525229
Will Trump try and fire Powell before June?,will-trump-try-and-fire-powell-before-june,99386740559913183009545420447877171791638680811322991940263165194083186475053,2025-05-31T12:00:00Z,True,0.995,0.9935,0.9965,0.9955,0.9965,0.9955,0.9965,618441.516234
Will DeepSeek have the top AI model on May 31?,will-deepseek-have-the-top-ai-model-on-may-31,76868803209187612846278583326296865585993617476863262416185423720588117118490,2025-05-31T12:00:00Z,True,0.996,0.9975,0.9985,0.9965,0.997,0.998,0.9985,631610.467046
Israel military action against Iran before June?,israel-military-action-against-iran-before-june,44939317539819072767368114561139572498853620329975668979095413555067370578574,2025-05-31T12:00:00Z,True,0.935,0.955,0.945,0.9655,0.9755,0.9845,0.9865,698344.307603
Will OpenAI have the top AI model on May 31?,will-openai-have-the-top-ai-model-on-may-31,70101234234692651615099456487307596965437833764708442102736767395981662935313,2025-05-31T12:00:00Z,True,0.9855,0.9875,0.9945,0.9945,0.987,0.995,0.9955,743281.053946
India-Pakistan declare war before June?,india-pakistan-declare-war-before-june,69765017047803374496141433523282630935408131913604150976064594600064955303420,2025-05-31T12:00:00Z,True,0.993,0.994,0.9945,0.994,0.9945,0.996,0.997,813337.756198
Will MicroStrategy announce bankruptcy by May 31?,will-microstrategy-announce-bankruptcy-by-may-31,64065357607164680008287604424607006827950532481072341707468696272058544052514,2025-05-31T12:00:00Z,True,0.9985,0.9985,0.9985,0.9985,0.9995,0.9995,0.9995,838998.852966
Will Anthropic have the top AI model on May 31?,will-anthropic-have-the-top-ai-model-on-may-31,35099112935450903136827384871571348533734323626813744040997977477086366261142,2025-05-31T12:00:00Z,True,0.9135,0.95,0.964,0.9825,0.9815,0.966,0.974,890840.124966
Israel strike on Iranian nuclear facility in May?,will-israel-strike-an-iranian-nuclear-facility-in-may,37224750590877344017735114061273344464224611430387892287276980847220463520713,2025-05-31T12:00:00Z,True,0.95,0.9595,0.967,0.9745,0.9825,0.9875,0.988,971066.311025
Will voter turnout in the 2025 Polish presidential election be more than 72%?,will-voter-turnout-in-the-2025-polish-presidential-election-be-more-than-72,25687965354506026206109599465014803168005382362883880593389835693451852547284,2025-06-01T12:00:00Z,True,0.74,0.6950000000000001,0.605,0.5800000000000001,0.515,0.575,0.5,1101722.5271
Will voter turnout in the 2025 Polish presidential election be less than 62%?,will-voter-turnout-in-the-2025-polish-presidential-election-be-less-than-62,88461273663202576368325409439247760240413423650415443706929085142893979649173,2025-06-01T12:00:00Z,True,0.988,0.9935,0.9935,0.9925,0.998,0.9975,0.9965,122973.984962
Will voter turnout in the 2025 Polish presidential election be between 62-64%?,will-voter-turnout-in-the-2025-polish-presidential-election-be-between-62-64,26059829235404409463657325826177946721830054241914428155374720991180873913989,2025-06-01T12:00:00Z,True,0.9875,0.9855,0.9865,0.988,0.996,0.9955,0.9885,132554.326694
Will Rafał Trzaskowski win by over 12%?,will-rafa-trzaskowski-win-by-over-12,114456060277062162966345055839394013317633047624720137906366243050275986714309,2025-06-01T12:00:00Z,True,0.967,0.974,0.9775,0.984,0.9855,0.9835,0.9905,1558103.109292
Trump approval >40% on June 1?,trump-approval-40-on-june-1,44443521938012700869432991829474924948430861901707484290647166632599388115700,2025-06-01T12:00:00Z,True,0.9935,0.994,0.9945,0.9935,0.9955,0.9965,0.998,163658.006559
Will Karol Nawrocki win by over 8%?,will-karol-nawrocki-win-by-over-8,44970876309939970132135736722138439874246915032687319610784840701685346287984,2025-06-01T12:00:00Z,True,0.978,0.9895,0.991,0.987,0.9905,0.9925,0.995,1780613.553918
50% tariff goes into effect on EU by June 1?,50-tariff-goes-into-effect-on-eu-by-june-1,29628947273150449950439757761654792663369120315569749245513017143962979751250,2025-06-01T12:00:00Z,True,0.765,0.9905,0.992,0.9955,0.9965,0.9965,0.997,179378.976531
Will Rafał Trzaskowski win by 8-12%?,will-rafa-trzaskowski-win-by-8-12,2283305420141793183729018507236502364933745016543317993860431834786155403105,2025-06-01T12:00:00Z,True,0.915,0.905,0.915,0.935,0.94,0.945,0.9805,1927687.364546
Will Trzaskowski or Nawrocki win the diaspora vote?,will-trzaskowski-or-nawrocki-win-the-diaspora-vote,94756158217201017594881296891897343038509127746142720244989471785457982662353,2025-06-01T12:00:00Z,True,0.967,0.979,0.983,0.9765,0.97,0.9785,0.9665,193955.620639
Will Karol Nawrocki win by 0-4%?,will-karol-nawrocki-win-by-0-4,110113556834287818624894561433697437374415433040367119054679320412530629532289,2025-06-01T12:00:00Z,False,0.74,0.74,0.72,0.725,0.75,0.725,0.62,2294538.94302
Will voter turnout in the 2025 Polish presidential election be between 64-66%?,will-voter-turnout-in-the-2025-polish-presidential-election-be-between-64-66,49564696560897656122270659203761444970711295522988938682622135302410331294978,2025-06-01T12:00:00Z,True,0.9795,0.975,0.9745,0.975,0.9845,0.977,0.9725,231772.772189
Will Rafał Trzaskowski win by 0-4%?,will-rafa-trzaskowski-win-by-0-4,40313323265280705470708174986458094945910798190765539164842325752905379798587,2025-06-01T12:00:00Z,True,0.7150000000000001,0.73,0.6699999999999999,0.64,0.605,0.61,0.595,2337133.206746
Will Rafał Trzaskowski win by 4-8%?,will-rafa-trzaskowski-win-by-4-8,628665179139314011766782141417743072883047577028624636866301712747985452384,2025-06-01T12:00:00Z,True,0.77,0.73,0.765,0.785,0.745,0.775,0.855,2582463.992202
Will Karol Nawrocki win by 4-8%?,will-karol-nawrocki-win-by-4-8,42387554626112080796997135678875984277598149855259580527697540978188246496884,2025-06-01T12:00:00Z,True,0.895,0.91,0.945,0.935,0.955,0.9565,0.9505,2839877.775914
Will voter turnout in the 2025 Polish presidential election be between 66-68%?,will-voter-turnout-in-the-2025-polish-presidential-election-be-between-66-68,102613138314000906425568015043806212611284888028859581755966003416037801002948,2025-06-01T12:00:00Z,True,0.911,0.935,0.9545,0.9665,0.97,0.967,0.949,318545.687461
